Name,Team,Fixture,eGoals/90,Anytime%,,
Mendy,LEI,(A): BHA,0.05,5%,,
Douglas Luiz,AVL,(H): MCI,0.05,5%,,
Davies,EVE,(H): LIV,0.05,5%,,
Mykolenko,EVE,(H): LIV,0.05,5%,,
McTominay,MUN,(H): ARS,0.05,5%,,
Toffolo,NFO,(H): BOU,0.05,5%,,
Keane,EVE,(H): LIV,0.05,5%,,
Burn,NEW,(H): CRY,0.05,5%,,
Cook,BOU,(A): NFO,0.05,5%,,
Cucurella,CHE,(H): WHU,0.05,5%,,
Lamptey,BHA,(H): LEI,0.05,5%,,
Tomkins,CRY,(A): NEW,0.05,5%,,
A.Doucouré,EVE,(H): LIV,0.05,5%,,
Botman,NEW,(H): CRY,0.05,5%,,
Diallo,SOU,(A): WOL,0.05,5%,,
Djenepo,SOU,(A): WOL,0.05,5%,,
Clarke,BHA,(H): LEI,0.05,5%,,
Ndidi,LEI,(A): BHA,0.05,4%,,
Colwill,BHA,(H): LEI,0.05,4%,,
Fredericks,BOU,(A): NFO,0.04,4%,,
Zemura,BOU,(A): NFO,0.04,4%,,
Kilman,WOL,(H): SOU,0.04,4%,,
Rice,WHU,(A): CHE,0.04,4%,,
Bech,BRE,(H): LEE,0.04,4%,,
Walker-Peters,SOU,(A): WOL,0.04,4%,,
Dawson,WHU,(A): CHE,0.04,4%,,
Boly,WOL,(H): SOU,0.04,4%,,
Niakhaté,NFO,(H): BOU,0.04,4%,,
Hughes,CRY,(A): NEW,0.04,4%,,
Cancelo,MCI,(A): AVL,0.04,4%,,
Coady,EVE,(H): LIV,0.04,4%,,
Roerslev,BRE,(H): LEE,0.04,4%,,
March,BHA,(H): LEI,0.04,4%,,
Söyüncü,LEI,(A): BHA,0.04,4%,,
Maguire,MUN,(H): ARS,0.04,4%,,
Trippier,NEW,(H): CRY,0.04,4%,,
Martínez,MUN,(H): ARS,0.04,4%,,
Downes,WHU,(A): CHE,0.04,4%,,
McGinn,AVL,(H): MCI,0.04,4%,,
Allan,EVE,(H): LIV,0.04,4%,,
Adams,LEE,(A): BRE,0.04,4%,,
Nakamba,AVL,(H): MCI,0.04,4%,,
Pinnock,BRE,(H): LEE,0.04,4%,,
Senesi,BOU,(A): NFO,0.04,4%,,
Patterson,EVE,(H): LIV,0.04,4%,,
Palhinha,FUL,(A): TOT,0.04,4%,,
Hickey,BRE,(H): LEE,0.04,4%,,
Hill,BOU,(A): NFO,0.04,4%,,
Coleman,EVE,(H): LIV,0.04,3%,,
Thomas,LEI,(A): BHA,0.04,3%,,
Perraud,SOU,(A): WOL,0.04,3%,,
Bella-Kotchap,SOU,(A): WOL,0.04,3%,,
Semedo,WOL,(H): SOU,0.04,3%,,
Young,AVL,(H): MCI,0.04,3%,,
Konsa,AVL,(H): MCI,0.03,3%,,
Diego Carlos,AVL,(H): MCI,0.03,3%,,
Chalobah,FUL,(A): TOT,0.03,3%,,
Evans,LEI,(A): BHA,0.03,3%,,
Vinagre,EVE,(H): LIV,0.03,3%,,
Tierney,ARS,(A): MUN,0.03,3%,,
Stacey,BOU,(A): NFO,0.03,3%,,
Guéhi,CRY,(A): NEW,0.03,3%,,
Cooper,LEE,(A): BRE,0.03,3%,,
Koch,LEE,(A): BRE,0.03,3%,,
Stephens,SOU,(A): WOL,0.03,3%,,
Ogbonna,WHU,(A): CHE,0.03,3%,,
Cédric,ARS,(A): MUN,0.03,3%,,
Zinchenko,ARS,(A): MUN,0.03,3%,,
McKenna,NFO,(H): BOU,0.03,3%,,
Valery,SOU,(A): WOL,0.03,3%,,
Zouma,WHU,(A): CHE,0.03,3%,,
Chambers,AVL,(H): MCI,0.03,3%,,
Kamara,AVL,(H): MCI,0.03,3%,,
Duffy,FUL,(A): TOT,0.03,3%,,
Fofana,LEI,(A): BHA,0.03,3%,,
Richards,CRY,(A): NEW,0.03,3%,,
Mepham,BOU,(A): NFO,0.03,3%,,
Malacia,MUN,(H): ARS,0.03,3%,,
Veltman,BHA,(H): LEI,0.03,3%,,
Lyanco,SOU,(A): WOL,0.03,3%,,
Cresswell,WHU,(A): CHE,0.03,3%,,
Saliba,ARS,(A): MUN,0.03,3%,,
Digne,AVL,(H): MCI,0.03,3%,,
Smith,BOU,(A): NFO,0.03,3%,,
Ferguson,CRY,(A): NEW,0.03,3%,,
Tete,FUL,(A): TOT,0.03,3%,,
Firpo,LEE,(A): BRE,0.03,3%,,
Amartey,LEI,(A): BHA,0.03,3%,,
Justin,LEI,(A): BHA,0.03,3%,,
Mings,AVL,(H): MCI,0.03,2%,,
Ajer,BRE,(H): LEE,0.03,2%,,
Andersen,CRY,(A): NEW,0.03,2%,,
Mina,EVE,(H): LIV,0.03,2%,,
Tarkowski,EVE,(H): LIV,0.03,2%,,
Tomiyasu,ARS,(A): MUN,0.02,2%,,
Cash,AVL,(H): MCI,0.02,2%,,
Struijk,LEE,(A): BRE,0.02,2%,,
Cook,NFO,(H): BOU,0.02,2%,,
Salisu,SOU,(A): WOL,0.02,2%,,
Dalot,MUN,(H): ARS,0.02,2%,,
Targett,NEW,(H): CRY,0.02,2%,,
Shaw,MUN,(H): ARS,0.02,2%,,
Lindelöf,MUN,(H): ARS,0.02,2%,,
Kelly,BOU,(A): NFO,0.02,2%,,
Kristensen,LEE,(A): BRE,0.02,2%,,
Johnson,WHU,(A): CHE,0.02,2%,,
White,ARS,(A): MUN,0.02,2%,,
Wan-Bissaka,MUN,(H): ARS,0.02,2%,,
Diop,FUL,(A): TOT,0.02,2%,,
Walker,MCI,(A): AVL,0.02,2%,,
Worrall,NFO,(H): BOU,0.02,2%,,
Bryan,FUL,(A): TOT,0.02,2%,,
Tosin,FUL,(A): TOT,0.02,2%,,
Clyne,CRY,(A): NEW,0.02,2%,,
Mbabu,FUL,(A): TOT,0.02,2%,,
Drameh,LEE,(A): BRE,0.02,2%,,
Ward,CRY,(A): NEW,0.01,1%,,
Mitchell,CRY,(A): NEW,0.01,1%,,
Reed,FUL,(A): TOT,0.01,1%,,
Ream,FUL,(A): TOT,0.01,1%,,
Robinson,FUL,(A): TOT,0.01,1%,,
Coufal,WHU,(A): CHE,0.01,1%,,
Alisson,LIV,(A): EVE,0.00,0%,,
Areola,WHU,(A): CHE,0.00,0%,,
Leno,FUL,(A): TOT,0.00,0%,,
Ramsdale,ARS,(A): MUN,0.00,0%,,
Martínez,AVL,(H): MCI,0.00,0%,,
Travers,BOU,(A): NFO,0.00,0%,,
Raya,BRE,(H): LEE,0.00,0%,,
Sánchez,BHA,(H): LEI,0.00,0%,,
Mendy,CHE,(H): WHU,0.00,0%,,
Guaita,CRY,(A): NEW,0.00,0%,,
Pickford,EVE,(H): LIV,0.00,0%,,
Meslier,LEE,(A): BRE,0.00,0%,,
Ward,LEI,(A): BHA,0.00,0%,,
Ederson,MCI,(A): AVL,0.00,0%,,
De Gea,MUN,(H): ARS,0.00,0%,,
Dubravka,NEW,(H): CRY,0.00,0%,,
Pope,NEW,(H): CRY,0.00,0%,,
Henderson,NFO,(H): BOU,0.00,0%,,
McCarthy,SOU,(A): WOL,0.00,0%,,
Bazunu,SOU,(A): WOL,0.00,0%,,
Lloris,TOT,(H): FUL,0.00,0%,,
Fabianski,WHU,(A): CHE,0.00,0%,,
Sá,WOL,(H): SOU,0.00,0%,,
Iversen,LEI,(A): BHA,0.00,0%,,
Neto,BOU,(A): NFO,0.00,0%,,
